criteria:,.3 for zipped directory,0.9 for linked pages but not consistent navigation across pages; else 0.8 for not all return home links; else .5 for working links to external pages; else 0.3 for all broken links,.5 for gradient css styling or only image being broken; else 0.3 for a screenshot of an html page which has an image visable,,BONUS 1 else NULL,BONUS 1 else NULL,
student_id,hosted,three_linked_pages,image,creative_or_original_content,js_functionality,showcase,website_grade
16,1,1,1,1,,1,1
12,1,1,1,1,,1,1
7,1,1,1,1,,,1
6,1,1,1,1,1,1,1
13,1,1,1,1,,1,1
23,1,1,1,1,1,1,1
27,1,1,1,1,,,1
15,1,1,1,1,,1,1
32,1,1,1,1,,,1
21,1,1,1,1,1,1,1
14,1,1,1,1,,1,1
25,1,1,1,1,,1,1
31,1,1,1,1,1,1,1
22,1,1,1,1,,,1
30,1,1,1,1,,,1
29,1,1,1,1,,1,1
35,1,0.9,1,1,,,0.975
39,1,0.8,1,1,1,,0.96
1,1,0.8,1,1,,1,0.96
2,1,0.8,1,1,,1,0.96
38,1,0.8,1,1,,,0.95
24,1,0.8,1,1,,,0.95
28,1,0.8,1,1,,,0.95
11,1,0.8,1,1,,,0.95
9,1,0.8,1,1,,,0.95
26,1,0.5,1,1,,,0.875
8,1,0.5,1,1,,,0.875
33,0.3,1,1,1,1,,0.86
19,0.3,0.8,1,1,,,0.775
17,1,0.5,0.5,1,,,0.75
3,0,0.3,1,1,,,0.575
18,0,0.5,0.5,1,,,0.5
34,0,0.3,0,1,,,0.325
20,0,0,0.3,1,,,0.325
5,0,0.3,0,1,,,0.325
10,0,0,0,0,,,0
4,0,0,0,0,,,0
37,0,0,0,0,,,0
36,0,0,0,0,,,0